fic;date;country;currency;mportret;mportretx
CHE;2004-07-30;SWITZERLAND;CHF;-0.01991695216169764;-0.02167841191811126
CHE;2004-08-31;SWITZERLAND;CHF;-0.01679285903127092;-0.01710073049675509
CHE;2004-09-30;SWITZERLAND;CHF;0.007489306741529811;0.007060485867576682
CHE;2004-10-29;SWITZERLAND;CHF;-0.01257841454991793;-0.01259727964958979
CHE;2004-11-30;SWITZERLAND;CHF;0.01944659369032475;0.01944659369032498
CHE;2004-12-30;SWITZERLAND;CHF;0.03891825644727609;0.03891825644727587
CHE;2005-01-31;SWITZERLAND;CHF;0.0240910111981858;0.02409101119818624
CHE;2005-02-28;SWITZERLAND;CHF;0.03499084032024014;0.03490542926683426
CHE;2005-03-31;SWITZERLAND;CHF;-0.003293760517636635;-0.00748012147478283
CHE;2005-04-29;SWITZERLAND;CHF;-0.01358990074142952;-0.02351893063932831
CHE;2005-05-31;SWITZERLAND;CHF;0.03839051425261197;0.03378591557216737
CHE;2005-06-30;SWITZERLAND;CHF;0.02152698624154437;0.02093151264741699
CHE;2005-07-29;SWITZERLAND;CHF;0.05399236634340232;0.05262014588815922
CHE;2005-08-31;SWITZERLAND;CHF;-0.009147631543739099;-0.009615645390286365
CHE;2005-09-30;SWITZERLAND;CHF;0.06090912855701891;0.05982181635793937
CHE;2005-10-31;SWITZERLAND;CHF;0.004746050802441282;0.004746050802441504
CHE;2005-11-30;SWITZERLAND;CHF;0.04946886306109999;0.04946886306109977
CHE;2005-12-30;SWITZERLAND;CHF;0.02899436934993593;0.02899436934993616
